_id,aggregation_period,int_id,intersection_name,px,classification,dir,period_name,volume
1,Apr 2018,13466110,Queen St E / Jarvis St,6,Cyclists,EB,14 Hour,171
2,Apr 2018,13466110,Queen St E / Jarvis St,6,Cyclists,EB,Afternoon (12:00-17:00),67
3,Apr 2018,13466110,Queen St E / Jarvis St,6,Cyclists,EB,AM Peak Period (07:00-10:00),19
4,Apr 2018,13466110,Queen St E / Jarvis St,6,Cyclists,EB,Evening (17:00-22:00),81
5,Apr 2018,13466110,Queen St E / Jarvis St,6,Cyclists,EB,Midday (10:00-16:00),67
6,Apr 2018,13466110,Queen St E / Jarvis St,6,Cyclists,EB,Morning (08:00-12:00),36
7,Apr 2018,13466110,Queen St E / Jarvis St,6,Cyclists,EB,PM Peak Period (16:00-19:00),65
8,Apr 2018,13466110,Queen St E / Jarvis St,6,Cyclists,WB,14 Hour,188
9,Apr 2018,13466110,Queen St E / Jarvis St,6,Cyclists,WB,Afternoon (12:00-17:00),69
10,Apr 2018,13466110,Queen St E / Jarvis St,6,Cyclists,WB,AM Peak Period (07:00-10:00),45
11,Apr 2018,13466110,Queen St E / Jarvis St,6,Cyclists,WB,Evening (17:00-22:00),54
12,Apr 2018,13466110,Queen St E / Jarvis St,6,Cyclists,WB,Midday (10:00-16:00),84
13,Apr 2018,13466110,Queen St E / Jarvis St,6,Cyclists,WB,Morning (08:00-12:00),59
14,Apr 2018,13466110,Queen St E / Jarvis St,6,Cyclists,WB,PM Peak Period (16:00-19:00),36
15,Apr 2018,13466110,Queen St E / Jarvis St,6,Pedestrians,EB,14 Hour,2211
16,Apr 2018,13466110,Queen St E / Jarvis St,6,Pedestrians,EB,Afternoon (12:00-17:00),950
17,Apr 2018,13466110,Queen St E / Jarvis St,6,Pedestrians,EB,AM Peak Period (07:00-10:00),346
18,Apr 2018,13466110,Queen St E / Jarvis St,6,Pedestrians,EB,Evening (17:00-22:00),803
19,Apr 2018,13466110,Queen St E / Jarvis St,6,Pedestrians,EB,Midday (10:00-16:00),1016
20,Apr 2018,13466110,Queen St E / Jarvis St,6,Pedestrians,EB,Morning (08:00-12:00),560
21,Apr 2018,13466110,Queen St E / Jarvis St,6,Pedestrians,EB,PM Peak Period (16:00-19:00),698
22,Apr 2018,13466110,Queen St E / Jarvis St,6,Pedestrians,WB,14 Hour,2235
23,Apr 2018,13466110,Queen St E / Jarvis St,6,Pedestrians,WB,Afternoon (12:00-17:00),894
24,Apr 2018,13466110,Queen St E / Jarvis St,6,Pedestrians,WB,AM Peak Period (07:00-10:00),498
25,Apr 2018,13466110,Queen St E / Jarvis St,6,Pedestrians,WB,Evening (17:00-22:00),682
26,Apr 2018,13466110,Queen St E / Jarvis St,6,Pedestrians,WB,Midday (10:00-16:00),986
27,Apr 2018,13466110,Queen St E / Jarvis St,6,Pedestrians,WB,Morning (08:00-12:00),669
28,Apr 2018,13466110,Queen St E / Jarvis St,6,Pedestrians,WB,PM Peak Period (16:00-19:00),598
29,Apr 2018,13466110,Queen St E / Jarvis St,6,Vehicles,EB,14 Hour,5022
30,Apr 2018,13466110,Queen St E / Jarvis St,6,Vehicles,EB,Afternoon (12:00-17:00),2035
31,Apr 2018,13466110,Queen St E / Jarvis St,6,Vehicles,EB,AM Peak Period (07:00-10:00),797
32,Apr 2018,13466110,Queen St E / Jarvis St,6,Vehicles,EB,Evening (17:00-22:00),1967
33,Apr 2018,13466110,Queen St E / Jarvis St,6,Vehicles,EB,Midday (10:00-16:00),2186
34,Apr 2018,13466110,Queen St E / Jarvis St,6,Vehicles,EB,Morning (08:00-12:00),1203
35,Apr 2018,13466110,Queen St E / Jarvis St,6,Vehicles,EB,PM Peak Period (16:00-19:00),1553
36,Apr 2018,13466110,Queen St E / Jarvis St,6,Vehicles,WB,14 Hour,5056
37,Apr 2018,13466110,Queen St E / Jarvis St,6,Vehicles,WB,Afternoon (12:00-17:00),1388
38,Apr 2018,13466110,Queen St E / Jarvis St,6,Vehicles,WB,AM Peak Period (07:00-10:00),1790
39,Apr 2018,13466110,Queen St E / Jarvis St,6,Vehicles,WB,Evening (17:00-22:00),1393
40,Apr 2018,13466110,Queen St E / Jarvis St,6,Vehicles,WB,Midday (10:00-16:00),1773
41,Apr 2018,13466110,Queen St E / Jarvis St,6,Vehicles,WB,Morning (08:00-12:00),2048
42,Apr 2018,13466110,Queen St E / Jarvis St,6,Vehicles,WB,PM Peak Period (16:00-19:00),994
43,Apr 2018,13466268,Richmond St E / Jarvis St,5,Cyclists,WB,14 Hour,592
44,Apr 2018,13466268,Richmond St E / Jarvis St,5,Cyclists,WB,Afternoon (12:00-17:00),113
45,Apr 2018,13466268,Richmond St E / Jarvis St,5,Cyclists,WB,AM Peak Period (07:00-10:00),302
46,Apr 2018,13466268,Richmond St E / Jarvis St,5,Cyclists,WB,Evening (17:00-22:00),130
47,Apr 2018,13466268,Richmond St E / Jarvis St,5,Cyclists,WB,Midday (10:00-16:00),143
48,Apr 2018,13466268,Richmond St E / Jarvis St,5,Cyclists,WB,Morning (08:00-12:00),316
49,Apr 2018,13466268,Richmond St E / Jarvis St,5,Cyclists,WB,PM Peak Period (16:00-19:00),109
50,Apr 2018,13466268,Richmond St E / Jarvis St,5,Pedestrians,EB,14 Hour,1485
51,Apr 2018,13466268,Richmond St E / Jarvis St,5,Pedestrians,EB,Afternoon (12:00-17:00),588
52,Apr 2018,13466268,Richmond St E / Jarvis St,5,Pedestrians,EB,AM Peak Period (07:00-10:00),250
53,Apr 2018,13466268,Richmond St E / Jarvis St,5,Pedestrians,EB,Evening (17:00-22:00),589
54,Apr 2018,13466268,Richmond St E / Jarvis St,5,Pedestrians,EB,Midday (10:00-16:00),644
